depth,min,max,median,wmean
56.5,23855.5,24335.1,24133.4,24125.8
56.75,23859,24337,24136.2,24128.6
57,23862,24339.2,24138.3,24131
57.25,23864.4,24341.4,24141.1,24133.9
57.5,23869.3,24343.9,24143.6,24136.6
57.75,23872.1,24345.9,24145.9,24139.2
58,23874.9,24349.4,24148,24141.8
58.25,23877.7,24351.1,24150.6,24144.4
58.5,23879.8,24354.1,24153,24147.1
58.75,23880.9,24356.8,24155.6,24149.8
59,23883.4,24359.5,24158.5,24152.5
59.25,23886.3,24361.7,24161,24155.2
59.5,23890.6,24363.7,24163.4,24158
59.75,23893.8,24366.9,24166.1,24160.8
60,23897.5,24369.3,24168.9,24163.5
60.25,23900.6,24371.9,24171.3,24166.1
60.5,23905.1,24374.2,24173.4,24168.6
60.75,23909.1,24375.9,24176.2,24171.4
61,23912.8,24378.4,24178.9,24173.9
61.25,23915.8,24381.2,24181.4,24176.5
61.5,23920,24384.2,24184.2,24179.1
61.75,23921.4,24386.3,24186.5,24181.7
62,23923.9,24389.2,24189.2,24184.3
62.25,23928.8,24390.4,24191.5,24186.8
62.5,23933.2,24392.7,24194.2,24189.6
62.75,23936.3,24395.8,24196.9,24192.5
63,23939.4,24399.2,24200,24195.3
63.25,23944.4,24400.9,24202.6,24197.9
63.5,23948.1,24403.2,24204.9,24200.5
63.75,23950.4,24406.1,24207.5,24203.1
64,23953.7,24408.4,24209.9,24205.7
64.25,23956.6,24411,24212.5,24208.5
64.5,23959.4,24413.4,24215.3,24210.9
64.75,23961.7,24414.8,24217.7,24213.5
65,23963.9,24418.3,24220.2,24216
65.25,23967.4,24419.6,24222.8,24218.9
65.5,23971.1,24422.3,24225.9,24221.7
65.75,23974.7,24425,24228.5,24224.4
66,23977.9,24428.1,24231,24227.1
66.25,23982.1,24430.9,24233.4,24229.9
66.5,23984.7,24433.7,24236,24232.6
66.75,23988.3,24436,24238.8,24235.3
67,23991.4,24437.9,24241.7,24238
67.25,23993.9,24441.1,24244,24240.7
67.5,23998.3,24444.3,24246.7,24243.4
67.75,24002.5,24446.5,24249.1,24246.1
68,24006.2,24449.1,24251.6,24248.8
68.25,24009.5,24452,24254.2,24251.6
68.5,24012.4,24454.1,24256.7,24254.3
68.75,24015.7,24455.5,24259.6,24257.1
69,24018.3,24458.9,24262.3,24259.9
69.25,24021.7,24460.8,24265,24262.6
69.5,24025.7,24463.2,24267.7,24265.4
69.75,24029.2,24466.1,24270.1,24268.1
70,24033.1,24468.9,24272.6,24270.9
70.25,24036,24470.8,24275.5,24273.5
70.5,24038.1,24474,24278.3,24276.2
70.75,24042.6,24476.7,24281.3,24278.9
71,24045.5,24479.2,24284,24281.6
71.25,24048,24481.5,24286.2,24284.2
71.5,24051.6,24484.2,24288.4,24287
71.75,24054.8,24486.9,24291.2,24289.7
72,24058.7,24488.8,24294.2,24292.5
72.25,24061.3,24492.2,24297.1,24295.1
72.5,24064.3,24495.3,24299.4,24297.8
72.75,24066.9,24498.8,24301.9,24300.4
73,24070.8,24502.2,24304.7,24303.2
73.25,24074,24504.6,24307.4,24305.9
73.5,24077.3,24506.6,24309.5,24308.5
73.75,24080.6,24508.9,24312,24311.1
74,24084,24511.3,24314.5,24313.7
74.25,24087.3,24513.3,24317.2,24316.4
74.5,24088.9,24516,24320.2,24319.2
74.75,24090.9,24519.4,24322.9,24321.7
75,24092.7,24522,24325.6,24324.4
75.25,24096,24524.5,24328.3,24327.3
75.5,24100.1,24527.5,24330.6,24330.1
