depth,min,max,median,wmean
13.5,211.3,357.5,279,281.9
13.75,219.4,362.5,284.5,288
14,225.1,369.3,290.6,294
14.25,234.1,374.4,296,300.2
14.5,240.5,381,302.1,306.3
14.75,250.1,385.4,307.2,312.5
15,256.5,392.1,312.9,318.8
15.25,262.5,396.8,317.9,324.5
15.5,267,403.2,323.9,330.2
15.75,270.2,407.1,329.7,335.2
16,273,412.5,335.4,340.2
16.25,276.2,416.7,341.2,345.2
16.5,278.6,421.7,347.5,350.3
16.75,281,423.1,350.2,352.4
16.9999,282.5,426.6,353.2,355
17,287,430.7,359.6,360.9
17.25,287.7,431.3,360.5,361.8
17.5,288,431.8,361.1,362.2
17.75,288.2,431.9,361.3,362.3
18,286.9,433.5,361.5,362.6
18.25,287,433.6,361.6,362.7
18.5,287.3,433.6,361.8,362.8
18.75,287.3,433.8,361.9,362.9
19,287.4,434,362,363
19.25,287.5,434,362.2,363.2
19.5,287.7,434.3,362.3,363.3
19.75,287.7,434.3,362.5,363.4
20,287.9,434.5,362.6,363.6
20.25,288,434.5,362.7,363.7
20.5,288.1,434.7,362.8,363.8
20.75,288.3,434.8,363,363.9
21,288.4,434.9,363.1,364
21.25,288.6,435,363.1,364.2
21.5,288.7,435.1,363.2,364.3
21.75,288.8,435.3,363.3,364.4
22,289,435.4,363.4,364.6
22.25,289.3,435.4,363.6,364.7
22.5,289.4,435.8,363.8,364.8
22.75,289.4,435.9,363.9,364.9
23,289.6,435.9,364,365.1
23.25,289.7,436,364.2,365.2
23.5,289.8,436.1,364.2,365.3
23.75,290.1,436.2,364.4,365.5
24,290.2,436.4,364.5,365.6
24.25,290.3,436.5,364.7,365.7
24.5,290.5,436.7,364.7,365.8
24.75,290.5,436.9,364.9,366
25,290.7,436.9,365,366.1
25.25,290.8,437.1,365.1,366.2
25.5,290.8,437.3,365.2,366.4
25.75,290.9,437.5,365.4,366.5
26,291,437.6,365.5,366.6
26.25,291.3,437.7,365.6,366.7
26.5,291.4,437.9,365.7,366.9
26.75,291.6,437.9,365.9,367
27,291.7,438.2,366,367.1
27.25,291.8,438.3,366.1,367.3
27.5,291.9,438.5,366.2,367.4
27.75,292.1,438.5,366.4,367.5
28,292.1,438.7,366.5,367.6
28.25,292.3,438.7,366.7,367.7
28.5,292.3,439,366.8,367.9
28.75,292.5,439,366.9,368
29,292.6,439.2,367,368.1
29.25,292.7,439.2,367.2,368.3
29.5,292.8,439.3,367.3,368.4
29.75,293,439.5,367.5,368.5
30,293.2,439.6,367.6,368.6
30.25,293.3,439.8,367.7,368.8
30.5,293.3,439.9,367.8,368.9
30.75,293.5,439.9,367.9,369
31,293.6,440.3,368.1,369.1
31.25,293.7,440.4,368.2,369.3
31.5,294,440.7,368.3,369.4
31.75,294.1,440.3,368.5,369.5
32,294.4,440.5,368.6,369.6
32.25,294.6,440.7,368.7,369.8
32.5,294.6,440.9,368.8,369.9
32.75,294.7,441.1,368.9,370
33,294.8,441,369.1,370.1
33.25,295,441.1,369.2,370.3
33.5,295.1,441.1,369.4,370.4
33.75,295.2,441.3,369.4,370.5
34,295.3,441.5,369.6,370.7
34.25,295.5,441.7,369.7,370.8
34.5,295.7,441.8,369.8,370.9
34.75,295.7,441.9,370,371
35,295.9,442.1,370.1,371.2
35.25,295.9,442.2,370.3,371.3
35.5,296,442.5,370.4,371.4
35.75,296.2,442.3,370.5,371.6
36,296.4,442.5,370.6,371.7
36.25,296.4,442.7,370.8,371.8
36.5,296.6,442.8,370.9,372
36.75,296.7,442.9,371,372.1
37,296.9,443,371.1,372.2
37.25,297.1,443.1,371.2,372.3
37.5,297.2,443.2,371.4,372.5
37.75,297.3,443.3,371.5,372.6
38,297.4,443.4,371.7,372.8
38.25,297.5,443.6,372,372.9
38.5,297.6,443.8,372.1,373
38.75,297.9,443.9,372,373.1
39,298,444,372.2,373.2
39.25,298.2,444.3,372.3,373.3
39.5,298.3,444.6,372.5,373.5
39.75,298.5,444.6,372.6,373.6
40,298.6,444.7,372.7,373.7
40.25,298.6,444.9,372.8,373.9
40.5,298.8,445,372.9,374
40.75,298.9,445,373.1,374.1
41,299.1,445.2,373.2,374.3
