FireName,FireYear,area
FYU E 75,1992,10004003
Salmon Fork,1999,1013917
Wood River,1999,31027625
Kandik River,2005,619409713
Hard Luck Creek,2000,1367224
Deer Creek,2004,413629222
NATION,1968,22111676
Trout Creek,2005,25145058
EAA SW 42,1994,3752352
Dennison Fork,2013,142966
532274,1995,719947
Stuver Creek,1989,14068986
Bitters Creek,1997,3838708
Slope,1972,9995837
MOTHER,1968,7977674
MELLICK,1972,15696229
FLAT NW-2,1959,5088005
VREELAND,1967,13338493
TAYLOR,1972,1625886
Cutler River #2,2010,196794
Feniak,2012,6290024
Kateel River,2007,1377634
Hour,2002,571880
Nulato River,1999,38404
HUNGER,1970,77045981
KHOTOL MT,1968,43560651
Pike Trap Lake,2013,86560
Eddy Creek,2001,7193723
832097,1988,206270027
MT HURST W-10,1959,16245724
MCG NW 60,1981,2687371
HORSEFLY,2007,8507913
LAST CHANCE,1968,30955508
Hammer Creek,2013,17124963
DEADWOOD,1997,23138548
Aklumayuak Creek,2003,1159189
TAK,1971,23688941
Salmon River,2003,2187050
OTZ NE 100,1985,21543188
Tag River #1,2002,160556851
Rodo River,2004,34978025
KATEEL RIVER #5,1957,
22 MILE CABIN,1968,4182633
BULLFROG,1968,6890257
Bear Creek,2004,16319799
FOXHILLS,1993,605972
MCG NW 60,1984,14394775
UNK-E-55,1983,74506680
SOUTH FORK NULATO RIVER,1957,208239294
Julie Creek,2013,2831963
KAL S 42,1985,1539143
IDITAROD FIRES,1957,312056933
OSKAWALIK,1997,9684608
Kogoyuk,1989,22924842
NORTH HORN,2006,10974169
OKSTAKUK,1980,6925720
VICTORIA,1972,15522899
Winter Trail,2009,9273149
Noatak Grand Canyon,2012,18344065
ORV SW 7,1988,1752655
Maiyumerak Creek 2,2011,107
Koyuk River 2,2014,646083
CABLE,1972,26889518
UNK S 30,1985,93988
UNK S 40,1985,1952041
Tundra George,1997,845682
ANVIK RIVER 1,1962,30000807
Owhat River,2009,543854
WTK NE 50,1984,6617952
Discovery South,2008,14047240
Napautokik Creek,2010,309088
Grand Canyon,2003,459535
Watch,1970,3790816
AUGUS,1977,1060675074
GMT ESE 42,1977,253712969
Goose Creek,2007,131257
NIGIKMIGOON,1972,29267201
Ungalik River,1997,4738527
Unalakleet River,2007,1522182
LITTLE BEAR,1972,41627821
KGX NW 19,1985,1661265
St.Marys Dump,2010,27080
Pastolik River,2007,2778149
Reindeer,1992,1239113
Kashunuk River,2008,1770585
Oregon Creek,2004,34727907
Esperanza Creek,2007,433255
Hobbs Knob,1972,2928103
AROPUK,1971,3260011
Cowpack Inlet,2007,54895
Kivalina River,1999,15154273
GAL W 190,1990,47499936
Squirrel River South,2010,1332398
AHKUTA,1974,55804474
Kiwalik,2011,3967299
Five Day Slough,2006,1965416
GMT S 12,1977,827038847
OTZ NNW 38,1977,455431643
Johnson River,1972,6331689
Evaingiknuk,2010,20274043
Goldbug Creek,2010,11092296
KUGRUK HI,1977,1050511890
132239,1991,7108549
631605,1996,242521
Pastoliak River,2000,51758466
Alatna Hills,2002,441966
Utopia,2010,52997
Kokrines Hills,2012,14920168
BAKER CREEK,1969,38158827
TITNA,1957,455442637
TELSITNA #2,1959,13149666
Nowitna River,2012,89753903
TAL SW 63,1993,1264608
TAL SW 62,1993,258556
Grand Creek,2002,15150465
Telsitna river,2005,746673
Holonada,2010,31722617
TAL NW 38,1981,121546092
BTT S 48,1992,117812710
Boney Creek,2005,251009600
Redlands Lake,2010,12273676
Chitanana River,1996,236917349
TAL S 27,1994,29496577
TAL SE 87,1990,100687798
MHM N 25,1991,170166129
MHM S 40,1994,4369945
AMOS LAKE,1969,25905678
31063,1990,70425820
Kluchay,1986,26666033
Frazer Lake,2000,2546766
MULCHATNA,1981,20489243
Lake Minakokosa,2007,521345
31045,1990,16093925
SELB SE 17,1978,7212772
Asiksat Creek,2011,195312
DCK SE 40,1986,18493215
832076,1988,15817189
Hochandoctla,1996,16343782
HUS NW 23,1985,58488888
Nowitna,1954,248838981
GAL NE 50,1991,26982390
Pontag,1996,798889
CORRECT,1971,210076876
Baby Creek,2009,2082016
TOZITNA,1954,
Hadolitna Hills,1996,4805472
Little Mud,2009,203512788
631039,1986,22344676
Lost River,2010,61521951
Nowitna #3,1953,398805869
Sulatna River,2013,192944350
Soda,1991,23031105
East Fork Hills,2004,5965842
Von Frank,2013,1597321
Berry,1991,3799687
BOATMAKERS,1971,1971735
Little Bonanza,2008,203555
GAL NE 44,1990,2354673
Yuki River,2010,37652011
Holtnaka,2002,92399639
West Fork Nixon,1997,208523694
HURTEN,1968,6892229
Colorado,1986,6144648
Page,1997,634924
Cheeneetnuk,2009,150735039
DOMINION CREEK,2010,2465262
MULCHATNA,1993,4132059
631588 Antelope Cr.,1996,36071446
NIX,1969,107090994
SULATNA,1994,872269
Middle Fork,2013,738610
Big River 2,1998,1124998
Can Creek,2013,26477017
Mt. X,1996,240815
ILIAMNA,2003,21950269
SPARREVOHN #4,1957,25861590
PAH RIVER,1977,213887613
832083,1988,62571712
PRF,2008,3278811
HOLIDAY CREEK,1971,6987807
Hahanuta,2011,71193
Naknek,2009,77140
George,1991,15328162
North Aniuk River,2011,7851919
Aniuk River South,2010,809
Kiliovilik Creek,1999,8264486
GAL NW 109,1990,1264538
531042,1985,2258870
HSL NW 50,1991,3089233
GAL NW 110,1990,3164091
DCK SSW 50,1994,796463
